ID,DATE,CURRENCY,"PX_LAST(dates=RANGE(2010-01-01,2022-03-01))"
TCM MK Equity,2010-01-01,MYR,
TCM MK Equity,2010-01-02,MYR,
TCM MK Equity,2010-01-03,MYR,
TCM MK Equity,2010-01-04,MYR,3.14
TCM MK Equity,2010-01-05,MYR,3.34
TCM MK Equity,2010-01-06,MYR,3.34
TCM MK Equity,2010-01-07,MYR,3.48
TCM MK Equity,2010-01-08,MYR,3.42
TCM MK Equity,2010-01-09,MYR,
TCM MK Equity,2010-01-10,MYR,
TCM MK Equity,2010-01-11,MYR,3.34
TCM MK Equity,2010-01-12,MYR,3.32
TCM MK Equity,2010-01-13,MYR,3.34
TCM MK Equity,2010-01-14,MYR,3.29
TCM MK Equity,2010-01-15,MYR,3.28
TCM MK Equity,2010-01-16,MYR,
TCM MK Equity,2010-01-17,MYR,
TCM MK Equity,2010-01-18,MYR,3.26
TCM MK Equity,2010-01-19,MYR,3.26
TCM MK Equity,2010-01-20,MYR,3.35
TCM MK Equity,2010-01-21,MYR,3.32
TCM MK Equity,2010-01-22,MYR,3.31
TCM MK Equity,2010-01-23,MYR,
TCM MK Equity,2010-01-24,MYR,
TCM MK Equity,2010-01-25,MYR,3.26
TCM MK Equity,2010-01-26,MYR,3.15
TCM MK Equity,2010-01-27,MYR,3.2
TCM MK Equity,2010-01-28,MYR,3.14
TCM MK Equity,2010-01-29,MYR,3.15
TCM MK Equity,2010-01-30,MYR,
TCM MK Equity,2010-01-31,MYR,
TCM MK Equity,2010-02-01,MYR,
TCM MK Equity,2010-02-02,MYR,3.14
TCM MK Equity,2010-02-03,MYR,3.13
TCM MK Equity,2010-02-04,MYR,3.08
TCM MK Equity,2010-02-05,MYR,2.99
TCM MK Equity,2010-02-06,MYR,
TCM MK Equity,2010-02-07,MYR,
TCM MK Equity,2010-02-08,MYR,2.85
TCM MK Equity,2010-02-09,MYR,2.7
TCM MK Equity,2010-02-10,MYR,2.86
TCM MK Equity,2010-02-11,MYR,2.9
TCM MK Equity,2010-02-12,MYR,2.96
TCM MK Equity,2010-02-13,MYR,
TCM MK Equity,2010-02-14,MYR,
TCM MK Equity,2010-02-15,MYR,
TCM MK Equity,2010-02-16,MYR,
TCM MK Equity,2010-02-17,MYR,3.09
TCM MK Equity,2010-02-18,MYR,3.06
TCM MK Equity,2010-02-19,MYR,2.96
TCM MK Equity,2010-02-20,MYR,
TCM MK Equity,2010-02-21,MYR,
TCM MK Equity,2010-02-22,MYR,3.05
TCM MK Equity,2010-02-23,MYR,2.99
TCM MK Equity,2010-02-24,MYR,3.1
TCM MK Equity,2010-02-25,MYR,3.17
TCM MK Equity,2010-02-26,MYR,
TCM MK Equity,2010-02-27,MYR,
TCM MK Equity,2010-02-28,MYR,
TCM MK Equity,2010-03-01,MYR,3.26
TCM MK Equity,2010-03-02,MYR,3.23
TCM MK Equity,2010-03-03,MYR,3.21
TCM MK Equity,2010-03-04,MYR,3.26
TCM MK Equity,2010-03-05,MYR,3.28
TCM MK Equity,2010-03-06,MYR,
TCM MK Equity,2010-03-07,MYR,
TCM MK Equity,2010-03-08,MYR,3.34
TCM MK Equity,2010-03-09,MYR,3.29
TCM MK Equity,2010-03-10,MYR,3.3
TCM MK Equity,2010-03-11,MYR,3.31
TCM MK Equity,2010-03-12,MYR,3.39
TCM MK Equity,2010-03-13,MYR,
TCM MK Equity,2010-03-14,MYR,
TCM MK Equity,2010-03-15,MYR,3.31
TCM MK Equity,2010-03-16,MYR,3.27
TCM MK Equity,2010-03-17,MYR,3.29
TCM MK Equity,2010-03-18,MYR,3.29
TCM MK Equity,2010-03-19,MYR,3.26
TCM MK Equity,2010-03-20,MYR,
TCM MK Equity,2010-03-21,MYR,
TCM MK Equity,2010-03-22,MYR,3.25
TCM MK Equity,2010-03-23,MYR,3.23
TCM MK Equity,2010-03-24,MYR,3.36
TCM MK Equity,2010-03-25,MYR,3.54
TCM MK Equity,2010-03-26,MYR,3.54
TCM MK Equity,2010-03-27,MYR,
TCM MK Equity,2010-03-28,MYR,
TCM MK Equity,2010-03-29,MYR,3.73
TCM MK Equity,2010-03-30,MYR,3.76
TCM MK Equity,2010-03-31,MYR,3.73
TCM MK Equity,2010-04-01,MYR,3.77
TCM MK Equity,2010-04-02,MYR,3.89
TCM MK Equity,2010-04-03,MYR,
TCM MK Equity,2010-04-04,MYR,
TCM MK Equity,2010-04-05,MYR,3.95
TCM MK Equity,2010-04-06,MYR,3.96
TCM MK Equity,2010-04-07,MYR,4.01
