ID,DATE,px_last
MAGY10YR Index,1998-12-17,6.81
MAGY10YR Index,1998-12-18,6.81
MAGY10YR Index,1998-12-19,6.81
MAGY10YR Index,1998-12-20,6.81
MAGY10YR Index,1998-12-21,6.81
MAGY10YR Index,1998-12-22,6.81
MAGY10YR Index,1998-12-23,6.81
MAGY10YR Index,1998-12-24,6.81
MAGY10YR Index,1998-12-25,6.81
MAGY10YR Index,1998-12-26,6.81
MAGY10YR Index,1998-12-27,6.81
MAGY10YR Index,1998-12-28,6.81
MAGY10YR Index,1998-12-29,6.81
MAGY10YR Index,1998-12-30,6.81
MAGY10YR Index,1998-12-31,6.81
MAGY10YR Index,1999-01-01,6.81
MAGY10YR Index,1999-01-02,6.81
MAGY10YR Index,1999-01-03,6.81
MAGY10YR Index,1999-01-04,6.81
MAGY10YR Index,1999-01-05,6.81
MAGY10YR Index,1999-01-06,6.895
MAGY10YR Index,1999-01-07,6.895
MAGY10YR Index,1999-01-08,6.895
MAGY10YR Index,1999-01-09,6.895
MAGY10YR Index,1999-01-10,6.895
MAGY10YR Index,1999-01-11,6.65
MAGY10YR Index,1999-01-12,6.71
MAGY10YR Index,1999-01-13,6.71
MAGY10YR Index,1999-01-14,6.71
MAGY10YR Index,1999-01-15,6.71
MAGY10YR Index,1999-01-16,6.71
MAGY10YR Index,1999-01-17,6.71
MAGY10YR Index,1999-01-18,6.71
MAGY10YR Index,1999-01-19,6.71
MAGY10YR Index,1999-01-20,6.71
MAGY10YR Index,1999-01-21,6.7
MAGY10YR Index,1999-01-22,6.69
MAGY10YR Index,1999-01-23,6.69
MAGY10YR Index,1999-01-24,6.69
MAGY10YR Index,1999-01-25,6.69
MAGY10YR Index,1999-01-26,6.7
MAGY10YR Index,1999-01-27,6.7
MAGY10YR Index,1999-01-28,6.945
MAGY10YR Index,1999-01-29,6.945
MAGY10YR Index,1999-01-30,6.945
MAGY10YR Index,1999-01-31,6.945
MAGY10YR Index,1999-02-01,6.945
MAGY10YR Index,1999-02-02,6.945
MAGY10YR Index,1999-02-03,6.955
MAGY10YR Index,1999-02-04,6.925
MAGY10YR Index,1999-02-05,6.74
MAGY10YR Index,1999-02-06,6.74
MAGY10YR Index,1999-02-07,6.74
MAGY10YR Index,1999-02-08,6.73
MAGY10YR Index,1999-02-09,6.7
MAGY10YR Index,1999-02-10,6.7
MAGY10YR Index,1999-02-11,6.69
MAGY10YR Index,1999-02-12,6.57
MAGY10YR Index,1999-02-13,6.57
MAGY10YR Index,1999-02-14,6.57
MAGY10YR Index,1999-02-15,6.6
MAGY10YR Index,1999-02-16,6.6
MAGY10YR Index,1999-02-17,6.6
MAGY10YR Index,1999-02-18,6.59
MAGY10YR Index,1999-02-19,6.58
MAGY10YR Index,1999-02-20,6.58
MAGY10YR Index,1999-02-21,6.58
MAGY10YR Index,1999-02-22,6.575
MAGY10YR Index,1999-02-23,6.6
MAGY10YR Index,1999-02-24,6.59
MAGY10YR Index,1999-02-25,6.58
MAGY10YR Index,1999-02-26,6.605
MAGY10YR Index,1999-02-27,6.605
MAGY10YR Index,1999-02-28,6.605
MAGY10YR Index,1999-03-01,6.655
MAGY10YR Index,1999-03-02,6.73
MAGY10YR Index,1999-03-03,6.73
MAGY10YR Index,1999-03-04,6.71
MAGY10YR Index,1999-03-05,6.665
MAGY10YR Index,1999-03-06,6.665
MAGY10YR Index,1999-03-07,6.665
MAGY10YR Index,1999-03-08,6.635
MAGY10YR Index,1999-03-09,6.605
MAGY10YR Index,1999-03-10,6.685
MAGY10YR Index,1999-03-11,6.685
MAGY10YR Index,1999-03-12,6.665
MAGY10YR Index,1999-03-13,6.665
MAGY10YR Index,1999-03-14,6.665
MAGY10YR Index,1999-03-15,6.665
MAGY10YR Index,1999-03-16,6.655
MAGY10YR Index,1999-03-17,6.65
MAGY10YR Index,1999-03-18,6.6
MAGY10YR Index,1999-03-19,6.51
MAGY10YR Index,1999-03-20,6.51
MAGY10YR Index,1999-03-21,6.51
MAGY10YR Index,1999-03-22,6.51
MAGY10YR Index,1999-03-23,6.5
MAGY10YR Index,1999-03-24,6.505
MAGY10YR Index,1999-03-25,6.495
MAGY10YR Index,1999-03-26,6.495
MAGY10YR Index,1999-03-27,6.495
MAGY10YR Index,1999-03-28,6.495
MAGY10YR Index,1999-03-29,6.495
MAGY10YR Index,1999-03-30,6.405
MAGY10YR Index,1999-03-31,6.375
MAGY10YR Index,1999-04-01,6.375
MAGY10YR Index,1999-04-02,6.375
MAGY10YR Index,1999-04-03,6.375
MAGY10YR Index,1999-04-04,6.375
MAGY10YR Index,1999-04-05,6.02
MAGY10YR Index,1999-04-06,6.02
MAGY10YR Index,1999-04-07,6.02
MAGY10YR Index,1999-04-08,6.04
MAGY10YR Index,1999-04-09,6.04
MAGY10YR Index,1999-04-10,6.04
MAGY10YR Index,1999-04-11,6.04
MAGY10YR Index,1999-04-12,6.06
MAGY10YR Index,1999-04-13,6.025
MAGY10YR Index,1999-04-14,6.025
MAGY10YR Index,1999-04-15,6.04
MAGY10YR Index,1999-04-16,5.875
MAGY10YR Index,1999-04-17,5.875
MAGY10YR Index,1999-04-18,5.875
MAGY10YR Index,1999-04-19,5.875
MAGY10YR Index,1999-04-20,6.025
MAGY10YR Index,1999-04-21,5.985
MAGY10YR Index,1999-04-22,6.005
MAGY10YR Index,1999-04-23,6.025
MAGY10YR Index,1999-04-24,6.025
MAGY10YR Index,1999-04-25,6.025
MAGY10YR Index,1999-04-26,6.025
MAGY10YR Index,1999-04-27,6.035
MAGY10YR Index,1999-04-28,5.985
MAGY10YR Index,1999-04-29,6.035
MAGY10YR Index,1999-04-30,6.015
MAGY10YR Index,1999-05-01,6.015
MAGY10YR Index,1999-05-02,6.015
MAGY10YR Index,1999-05-03,6.015
MAGY10YR Index,1999-05-04,5.915
MAGY10YR Index,1999-05-05,5.895
MAGY10YR Index,1999-05-06,5.845
MAGY10YR Index,1999-05-07,5.875
MAGY10YR Index,1999-05-08,5.875
MAGY10YR Index,1999-05-09,5.875
MAGY10YR Index,1999-05-10,5.865
MAGY10YR Index,1999-05-11,5.885
MAGY10YR Index,1999-05-12,5.92
MAGY10YR Index,1999-05-13,5.93
MAGY10YR Index,1999-05-14,5.92
MAGY10YR Index,1999-05-15,5.92
MAGY10YR Index,1999-05-16,5.92
MAGY10YR Index,1999-05-17,5.92
MAGY10YR Index,1999-05-18,5.9
MAGY10YR Index,1999-05-19,5.91
MAGY10YR Index,1999-05-20,5.88
MAGY10YR Index,1999-05-21,5.93
MAGY10YR Index,1999-05-22,5.93
MAGY10YR Index,1999-05-23,5.93
MAGY10YR Index,1999-05-24,5.94
MAGY10YR Index,1999-05-25,5.96
MAGY10YR Index,1999-05-26,5.97
MAGY10YR Index,1999-05-27,5.99
MAGY10YR Index,1999-05-28,6.01
MAGY10YR Index,1999-05-29,6.01
MAGY10YR Index,1999-05-30,6.01
MAGY10YR Index,1999-05-31,6.02
MAGY10YR Index,1999-06-01,6.15
MAGY10YR Index,1999-06-02,6.17
MAGY10YR Index,1999-06-03,6.2
MAGY10YR Index,1999-06-04,6.23
MAGY10YR Index,1999-06-05,6.23
MAGY10YR Index,1999-06-06,6.23
MAGY10YR Index,1999-06-07,6.26
MAGY10YR Index,1999-06-08,6.26
MAGY10YR Index,1999-06-09,6.16
MAGY10YR Index,1999-06-10,6.16
MAGY10YR Index,1999-06-11,6.25
MAGY10YR Index,1999-06-12,6.25
MAGY10YR Index,1999-06-13,6.25
MAGY10YR Index,1999-06-14,6.24
MAGY10YR Index,1999-06-15,6.48
MAGY10YR Index,1999-06-16,6.48
MAGY10YR Index,1999-06-17,6.48
MAGY10YR Index,1999-06-18,6.48
MAGY10YR Index,1999-06-19,6.48
MAGY10YR Index,1999-06-20,6.48
MAGY10YR Index,1999-06-21,6.43
MAGY10YR Index,1999-06-22,6.42
MAGY10YR Index,1999-06-23,6.44
MAGY10YR Index,1999-06-24,6.45
MAGY10YR Index,1999-06-25,6.45
MAGY10YR Index,1999-06-26,6.45
MAGY10YR Index,1999-06-27,6.45
MAGY10YR Index,1999-06-28,6.39
MAGY10YR Index,1999-06-29,6.39
MAGY10YR Index,1999-06-30,6.39
MAGY10YR Index,1999-07-01,6.44
MAGY10YR Index,1999-07-02,6.44
MAGY10YR Index,1999-07-03,6.44
MAGY10YR Index,1999-07-04,6.44
MAGY10YR Index,1999-07-05,6.44
MAGY10YR Index,1999-07-06,6.45
MAGY10YR Index,1999-07-07,6.44
MAGY10YR Index,1999-07-08,6.43
MAGY10YR Index,1999-07-09,6.43
MAGY10YR Index,1999-07-10,6.43
MAGY10YR Index,1999-07-11,6.43
MAGY10YR Index,1999-07-12,6.43
MAGY10YR Index,1999-07-13,6.43
MAGY10YR Index,1999-07-14,6.465
MAGY10YR Index,1999-07-15,6.465
MAGY10YR Index,1999-07-16,6.445
MAGY10YR Index,1999-07-17,6.445
MAGY10YR Index,1999-07-18,6.445
MAGY10YR Index,1999-07-19,6.435
MAGY10YR Index,1999-07-20,6.485
MAGY10YR Index,1999-07-21,6.485
MAGY10YR Index,1999-07-22,6.525
MAGY10YR Index,1999-07-23,6.625
MAGY10YR Index,1999-07-24,6.625
MAGY10YR Index,1999-07-25,6.625
MAGY10YR Index,1999-07-26,6.675
MAGY10YR Index,1999-07-27,6.565
MAGY10YR Index,1999-07-28,6.575
MAGY10YR Index,1999-07-29,6.565
MAGY10YR Index,1999-07-30,6.565
MAGY10YR Index,1999-07-31,6.565
MAGY10YR Index,1999-08-01,6.565
MAGY10YR Index,1999-08-02,6.575
MAGY10YR Index,1999-08-03,6.625
MAGY10YR Index,1999-08-04,6.76
MAGY10YR Index,1999-08-05,6.77
MAGY10YR Index,1999-08-06,6.77
MAGY10YR Index,1999-08-07,6.77
MAGY10YR Index,1999-08-08,6.77
MAGY10YR Index,1999-08-09,7.42
MAGY10YR Index,1999-08-10,7.415
MAGY10YR Index,1999-08-11,7.425
MAGY10YR Index,1999-08-12,7.425
MAGY10YR Index,1999-08-13,7.425
MAGY10YR Index,1999-08-14,7.425
MAGY10YR Index,1999-08-15,7.425
MAGY10YR Index,1999-08-16,6.93
MAGY10YR Index,1999-08-17,6.93
MAGY10YR Index,1999-08-18,6.95
MAGY10YR Index,1999-08-19,6.96
