ID,DATE,CURRENCY,"PX_LAST(dates=RANGE(2010-01-01,2022-03-01))"
IOIPG MK Equity,2010-01-01,MYR,
IOIPG MK Equity,2010-01-02,MYR,
IOIPG MK Equity,2010-01-03,MYR,
IOIPG MK Equity,2010-01-04,MYR,
IOIPG MK Equity,2010-01-05,MYR,
IOIPG MK Equity,2010-01-06,MYR,
IOIPG MK Equity,2010-01-07,MYR,
IOIPG MK Equity,2010-01-08,MYR,
IOIPG MK Equity,2010-01-09,MYR,
IOIPG MK Equity,2010-01-10,MYR,
IOIPG MK Equity,2010-01-11,MYR,
IOIPG MK Equity,2010-01-12,MYR,
IOIPG MK Equity,2010-01-13,MYR,
IOIPG MK Equity,2010-01-14,MYR,
IOIPG MK Equity,2010-01-15,MYR,
IOIPG MK Equity,2010-01-16,MYR,
IOIPG MK Equity,2010-01-17,MYR,
IOIPG MK Equity,2010-01-18,MYR,
IOIPG MK Equity,2010-01-19,MYR,
IOIPG MK Equity,2010-01-20,MYR,
IOIPG MK Equity,2010-01-21,MYR,
IOIPG MK Equity,2010-01-22,MYR,
IOIPG MK Equity,2010-01-23,MYR,
IOIPG MK Equity,2010-01-24,MYR,
IOIPG MK Equity,2010-01-25,MYR,
IOIPG MK Equity,2010-01-26,MYR,
IOIPG MK Equity,2010-01-27,MYR,
IOIPG MK Equity,2010-01-28,MYR,
IOIPG MK Equity,2010-01-29,MYR,
IOIPG MK Equity,2010-01-30,MYR,
IOIPG MK Equity,2010-01-31,MYR,
IOIPG MK Equity,2010-02-01,MYR,
IOIPG MK Equity,2010-02-02,MYR,
IOIPG MK Equity,2010-02-03,MYR,
IOIPG MK Equity,2010-02-04,MYR,
IOIPG MK Equity,2010-02-05,MYR,
IOIPG MK Equity,2010-02-06,MYR,
IOIPG MK Equity,2010-02-07,MYR,
IOIPG MK Equity,2010-02-08,MYR,
IOIPG MK Equity,2010-02-09,MYR,
IOIPG MK Equity,2010-02-10,MYR,
IOIPG MK Equity,2010-02-11,MYR,
IOIPG MK Equity,2010-02-12,MYR,
IOIPG MK Equity,2010-02-13,MYR,
IOIPG MK Equity,2010-02-14,MYR,
IOIPG MK Equity,2010-02-15,MYR,
IOIPG MK Equity,2010-02-16,MYR,
IOIPG MK Equity,2010-02-17,MYR,
IOIPG MK Equity,2010-02-18,MYR,
IOIPG MK Equity,2010-02-19,MYR,
IOIPG MK Equity,2010-02-20,MYR,
IOIPG MK Equity,2010-02-21,MYR,
IOIPG MK Equity,2010-02-22,MYR,
IOIPG MK Equity,2010-02-23,MYR,
IOIPG MK Equity,2010-02-24,MYR,
IOIPG MK Equity,2010-02-25,MYR,
IOIPG MK Equity,2010-02-26,MYR,
IOIPG MK Equity,2010-02-27,MYR,
IOIPG MK Equity,2010-02-28,MYR,
IOIPG MK Equity,2010-03-01,MYR,
IOIPG MK Equity,2010-03-02,MYR,
IOIPG MK Equity,2010-03-03,MYR,
IOIPG MK Equity,2010-03-04,MYR,
IOIPG MK Equity,2010-03-05,MYR,
IOIPG MK Equity,2010-03-06,MYR,
IOIPG MK Equity,2010-03-07,MYR,
IOIPG MK Equity,2010-03-08,MYR,
IOIPG MK Equity,2010-03-09,MYR,
IOIPG MK Equity,2010-03-10,MYR,
IOIPG MK Equity,2010-03-11,MYR,
IOIPG MK Equity,2010-03-12,MYR,
IOIPG MK Equity,2010-03-13,MYR,
IOIPG MK Equity,2010-03-14,MYR,
IOIPG MK Equity,2010-03-15,MYR,
IOIPG MK Equity,2010-03-16,MYR,
IOIPG MK Equity,2010-03-17,MYR,
IOIPG MK Equity,2010-03-18,MYR,
IOIPG MK Equity,2010-03-19,MYR,
IOIPG MK Equity,2010-03-20,MYR,
IOIPG MK Equity,2010-03-21,MYR,
IOIPG MK Equity,2010-03-22,MYR,
IOIPG MK Equity,2010-03-23,MYR,
IOIPG MK Equity,2010-03-24,MYR,
IOIPG MK Equity,2010-03-25,MYR,
IOIPG MK Equity,2010-03-26,MYR,
IOIPG MK Equity,2010-03-27,MYR,
IOIPG MK Equity,2010-03-28,MYR,
IOIPG MK Equity,2010-03-29,MYR,
IOIPG MK Equity,2010-03-30,MYR,
IOIPG MK Equity,2010-03-31,MYR,
IOIPG MK Equity,2010-04-01,MYR,
IOIPG MK Equity,2010-04-02,MYR,
IOIPG MK Equity,2010-04-03,MYR,
IOIPG MK Equity,2010-04-04,MYR,
IOIPG MK Equity,2010-04-05,MYR,
IOIPG MK Equity,2010-04-06,MYR,
IOIPG MK Equity,2010-04-07,MYR,
IOIPG MK Equity,2010-04-08,MYR,
IOIPG MK Equity,2010-04-09,MYR,
IOIPG MK Equity,2010-04-10,MYR,
IOIPG MK Equity,2010-04-11,MYR,
IOIPG MK Equity,2010-04-12,MYR,
IOIPG MK Equity,2010-04-13,MYR,
IOIPG MK Equity,2010-04-14,MYR,
IOIPG MK Equity,2010-04-15,MYR,
IOIPG MK Equity,2010-04-16,MYR,
IOIPG MK Equity,2010-04-17,MYR,
